problem_type,id,filename,language,method,notes
is_palindrome,17,snip_17.py,Python,Half split,Compare halves
is_palindrome,18,snip_18.py,Python,Regex clean,Removes special chars
is_palindrome,19,snip_19.py,Python,Unicode-safe,Handles Unicode characters
is_palindrome,20,snip_20.py,Python,Lambda wrap,Wrapped in lambda

fibonacci,1,snip_01.py,Python,List iteration,Simple iterative method
fibonacci,2,snip_02.py,Python,Recursive,Recursive definition
fibonacci,3,snip_03.py,Python,Generator,Uses generator
fibonacci,4,snip_04.py,Python,Binet's formula,Math-based approximation
fibonacci,5,snip_05.py,Python,Memoization,With dictionary cache
fibonacci,6,snip_06.py,Python,While loop,Manual while control
fibonacci,7,snip_07.py,Python,Yield generator,Using yield keyword
fibonacci,8,snip_08.py,Python,Dynamic programming,DP array approach
fibonacci,9,snip_09.py,Python,Matrix exponentiation,Advanced math method
fibonacci,10,snip_10.py,Python,Reduce function,Functional approach
fibonacci,11,snip_11.py,Python,Lru cache,Uses @lru_cache decorator
fibonacci,12,snip_12.py,Python,Tuple swap,Uses tuple unpacking
fibonacci,13,snip_13.py,Python,Tail recursion,Simulated tail recursion
fibonacci,14,snip_14.py,Python,Binet's formula,Another math version
fibonacci,15,snip_15.py,Python,Preallocation,Faster memory use
fibonacci,16,snip_16.py,Python,Islice,Uses itertools
fibonacci,17,snip_17.py,Python,Manual update,Custom variable updates
fibonacci,18,snip_18.py,Python,Predefined fill,Starts with base values
fibonacci,19,snip_19.py,Python,Map function,Functional mapping
fibonacci,20,snip_20.py,Python,Numpy array,Uses numpy arrays
